release_path,original_path,classification,origin_project,original_author_or_copyright,license,spdx,modified_by_le_sun,include,reason,sha256_original,sha256_release,notes
.gitignore,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Git ignore rules,,5d8488ccd1e12af899b4798742826683188ed9e83eaa944b5d987e982e46009e,Generated during release preparation
AUTHORS.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Authorship,,0c745f59621c8b447253101ba149bd17103f41d70fab9049a8e06474fe6aa12b,Generated during release preparation
CHANGELOG.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Changelog,,b91637f15c62914ff346c84c703ab1f1e05e04b19cf6c4c0f5f05d705c14a742,Generated during release preparation
CITATION.cff,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Citation metadata,,99d7941b199b118d0bb52a7d3be82a111a70a9fa32f9ccdbea0a531a176c78bd,Generated during release preparation
CONTRIBUTING.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Contributing guide,,d49654e6f5f364dfa0e0bd731fd1043044ead919db2e79298419ee935edb54dd,Generated during release preparation
LICENSE,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Multi-license statement,,f26951fd751738adca0f7113d6b4c92397ca5836177ce95d154babb820ecb9f8,Generated during release preparation
LICENSES/Apache-2.0.txt,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Apache-2.0 license text,,62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a,Generated during release preparation
LICENSES/BSD-2-Clause.txt,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,BSD-2-Clause license text,,f613af54ce5541caed08e167ff162fe373f7af34f992a4fb368379fd7c7752a3,Generated during release preparation
LICENSES/upstream/Corundum-LICENSE.txt,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Corundum upstream LICENSE text,,e718ce52d815d36c0576b9f759001200731db9b16775286ffc1b66bbf97eb1b6,Generated during release preparation
LICENSES/upstream/Vitis_Libraries-LICENSE.txt,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Vitis Libraries upstream LICENSE text,,3b8747d07bb21f9842a3c4d6c4c2a759ee8e47ba7ef4e8383d3a48fb9fea6fb9,Generated during release preparation
NOTICE,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Attribution notice,,2387fe1a03b5df7c75086588e47ad38d7e272e747f5cf5fc5f10433379fc7cf3,Generated during release preparation
README.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Top-level README (story + disclosure),,00eb103d73f24221f983ef8be20de4d7c273c50e0315567bb797e340860349a4,Generated during release preparation
README_CN.md,N/A (author-provided translation of README.md),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Chinese translation of the top-level README provided by the author,,d16cbfc476e0da3efe1ad9aa50e9a2f4e6c0a2f3694e18803c3906184f9886b0,Author-provided; verified consistent with English README
SECURITY.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Security/vulnerability reporting,,00e25f89c17aaa2ce82022d3b4c0e85ba1136098090c2a6283cd0f51a0ca72af,Generated during release preparation
THIRD_PARTY_NOTICES.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Third-party notices,,12c96f020f6215ce985611e5638564eeb7b805fc8cf123605b65398faf00058c,Generated during release preparation
constraints/boot.xdc,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/mqnic_gcm_codex.srcs/constrs_1/imports/fpga/mqnic/Nexus_K3P_S/fpga_25g/boot.xdc,CORUNDUM_UPSTREAM,Corundum,Corundum,BSD-2-Clause-Views,BSD-2-Clause-Views,no,True,Unmodified,570410ab9099080be62eb128d84c0707c821963b704659a294381c416e0c828c,570410ab9099080be62eb128d84c0707c821963b704659a294381c416e0c828c,
constraints/corundum_syn/axis_async_fifo.tcl,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/mqnic_gcm_codex.srcs/constrs_1/imports/fpga/mqnic/Nexus_K3P_S/fpga_25g/lib/axis/syn/vivado/axis_async_fifo.tcl,CORUNDUM_UPSTREAM,Corundum,Corundum / Alex Forencich,BSD-2-Clause-Views or MIT,varies,no,True,Corundum synthesis/IP tcl,3f57cca60ad8151c329b5ef29c816005e52e1e20943c42f1b3eb2a134e7da839,3f57cca60ad8151c329b5ef29c816005e52e1e20943c42f1b3eb2a134e7da839,
constraints/corundum_syn/eth_xcvr_phy_10g_gty_wrapper.tcl,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/mqnic_gcm_codex.srcs/constrs_1/imports/fpga/common/syn/vivado/eth_xcvr_phy_10g_gty_wrapper.tcl,CORUNDUM_UPSTREAM,Corundum,Corundum / Alex Forencich,BSD-2-Clause-Views or MIT,varies,no,True,Corundum synthesis/IP tcl,5d01d10ffaf18d07fc13c8fb3227b6bd5e57e7be1c4f725dc5542e322ba3384e,5d01d10ffaf18d07fc13c8fb3227b6bd5e57e7be1c4f725dc5542e322ba3384e,
constraints/corundum_syn/mqnic_port.tcl,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/mqnic_gcm_codex.srcs/constrs_1/imports/fpga/common/syn/vivado/mqnic_port.tcl,CORUNDUM_UPSTREAM,Corundum,Corundum / Alex Forencich,BSD-2-Clause-Views or MIT,varies,no,True,Corundum synthesis/IP tcl,fe2bda2ceb70f60f5bdedcc071e826d2f5106fb4b4b1c7badee5bfdb143a1f64,fe2bda2ceb70f60f5bdedcc071e826d2f5106fb4b4b1c7badee5bfdb143a1f64,
constraints/corundum_syn/mqnic_ptp_clock.tcl,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/mqnic_gcm_codex.srcs/constrs_1/imports/fpga/common/syn/vivado/mqnic_ptp_clock.tcl,CORUNDUM_UPSTREAM,Corundum,Corundum / Alex Forencich,BSD-2-Clause-Views or MIT,varies,no,True,Corundum synthesis/IP tcl,9a6fc92da10fe1aa43fb885c7e43f230ad0bf5de9c7bc8283096f277dce00043,9a6fc92da10fe1aa43fb885c7e43f230ad0bf5de9c7bc8283096f277dce00043,
constraints/corundum_syn/mqnic_rb_clk_info.tcl,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/mqnic_gcm_codex.srcs/constrs_1/imports/fpga/common/syn/vivado/mqnic_rb_clk_info.tcl,CORUNDUM_UPSTREAM,Corundum,Corundum / Alex Forencich,BSD-2-Clause-Views or MIT,varies,no,True,Corundum synthesis/IP tcl,4a2b8fae4a3726a7cb294c1d72836295dee9157cd4e9a242f090748510bf217e,4a2b8fae4a3726a7cb294c1d72836295dee9157cd4e9a242f090748510bf217e,
constraints/corundum_syn/ptp_td_leaf.tcl,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/mqnic_gcm_codex.srcs/constrs_1/imports/fpga/mqnic/Nexus_K3P_S/fpga_25g/lib/eth/syn/vivado/ptp_td_leaf.tcl,CORUNDUM_UPSTREAM,Corundum,Corundum / Alex Forencich,BSD-2-Clause-Views or MIT,varies,no,True,Corundum synthesis/IP tcl,960675fdef23180b8e51bbd11dbbd0e8ca2a6958291ca821c4e08e5c68a0063d,960675fdef23180b8e51bbd11dbbd0e8ca2a6958291ca821c4e08e5c68a0063d,
constraints/corundum_syn/rb_drp.tcl,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/mqnic_gcm_codex.srcs/constrs_1/imports/fpga/common/syn/vivado/rb_drp.tcl,CORUNDUM_UPSTREAM,Corundum,Corundum / Alex Forencich,BSD-2-Clause-Views or MIT,varies,no,True,Corundum synthesis/IP tcl,2a698b1d9be8a9a2f8dbdd3da3da9f25cc005d0f3bbeed5f6eb547c3613bf4fa,2a698b1d9be8a9a2f8dbdd3da3da9f25cc005d0f3bbeed5f6eb547c3613bf4fa,
constraints/corundum_syn/sync_reset.tcl,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/mqnic_gcm_codex.srcs/constrs_1/imports/fpga/mqnic/Nexus_K3P_S/fpga_25g/lib/axis/syn/vivado/sync_reset.tcl,CORUNDUM_UPSTREAM,Corundum,Corundum / Alex Forencich,BSD-2-Clause-Views or MIT,varies,no,True,Corundum synthesis/IP tcl,14500d981033dd7475c7146779ed33c8fc0c9c082e98e4e2479602239a67514f,14500d981033dd7475c7146779ed33c8fc0c9c082e98e4e2479602239a67514f,
constraints/corundum_syn/tdma_ber_ch.tcl,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/mqnic_gcm_codex.srcs/constrs_1/imports/fpga/common/syn/vivado/tdma_ber_ch.tcl,CORUNDUM_UPSTREAM,Corundum,Corundum / Alex Forencich,BSD-2-Clause-Views or MIT,varies,no,True,Corundum synthesis/IP tcl,23d83e2028295066177fb6b2096bc4746254b87cf5c12cb7dc687105b84c5ca4,23d83e2028295066177fb6b2096bc4746254b87cf5c12cb7dc687105b84c5ca4,
constraints/fpga_k35.xdc,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/mqnic_gcm_codex.srcs/constrs_1/imports/fpga/mqnic/Nexus_K3P_S/fpga_25g/fpga_k35.xdc,CORUNDUM_MODIFIED,Corundum + Le Sun,Corundum / UC Regents,BSD-2-Clause-Views,BSD-2-Clause-Views,yes,True,MACsec pblock + async clock groups; patch provided,52bad8622af2d6638e4e9caa17ca72837bab5e37c34420fad1277890d69cbdf6,71e25b8c8e0d9b13d0b0e57c0ce50ff5161b09339ce6d9e1727bc8de78bfd393,Attribution block added
docs/AI_ASSISTED_ENGINEERING.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,AI methodology,,b3de89aa6d284d18a169a8617acabcaf5d2ebce6756983ab69abfe42dc4f40c9,Generated during release preparation
docs/ARCHITECTURE.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Architecture (current vs target),,f83f5336f8f9316a01d2f83239bdf077137e579d11022db0e0013e16ad1d35b6,Generated during release preparation
docs/BUILD.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Build guide,,8c9920613ff7620470ee7444682d8801de0a596145c38b85d006f5abca5b3bf8,Generated during release preparation
docs/KNOWN_LIMITATIONS.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Known limitations,,3f2ebeb8c49a28575bbac54cc901b3dcb4456aad064fdb7b23a9e180bbf8fb05,Generated during release preparation
docs/PERFORMANCE.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Performance model,,995f2e01645dbe528e6aeed6d292ff2b391c312f6d50c0ba8203b93221d1140f,Generated during release preparation
docs/PROJECT_HISTORY.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Project story,,85be8f6147c19e724924ec22a45042d1be1214fb9b253b1be948014772741213,Generated during release preparation
docs/PROVENANCE.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Provenance mapping,,56c994b131ac66fd1d7fb141a3cba94c6a0c21cbd548a88dd0e700097fdd9411,Generated during release preparation
docs/PUBLISH_REVIEW_REQUIRED.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Publication review gate,,0b7267c48441928b136689cc32e4a217d12ab40e1bcf798c03021e0a682b206e,Generated during release preparation
docs/RELEASE_NOTES_DRAFT.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Release notes draft,,796a203e0ffa2a5eb1bbaf556a9ef6cd8d5ae0981c8d18a7b1ace7038aba381e,Generated during release preparation
docs/REPRODUCIBILITY.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Reproducibility,,b3c927fb1dc8ab993875abf516dcb8a719fbda37837d575b389de27c9d9b5b50,Generated during release preparation
docs/ROADMAP.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Roadmap,,497f7e028bc76b21dce19b2bc78fd337362073c45e90c808cbd330934dcf5935,Generated during release preparation
docs/SECURITY_STATUS.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Security status,,e5a0a0157ffe919f37451978298d8ccb65ff4455ec55098a0105cc19ae393499,Generated during release preparation
docs/VERIFICATION_STATUS.md,N/A (new artifact),DOCUMENTATION_ORIGINAL,release preparation (2026-08-09),Le Sun,BSD-2-Clause,BSD-2-Clause,n/a (author),True,Verification status,,a81dc1b4a6dbf7d11b21f0a5629a977dd781e517b25c63152a1675809bf4d917,Generated during release preparation
docs/audits/VITIS_MACSEC_SECURITY_CLOSURE_20260806_210353.json,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/reports/VITIS_MACSEC_SECURITY_CLOSURE_20260806_210353.json,DOCUMENTATION_ORIGINAL,VITIS_MACSEC audits (2026-08-06),Le Sun (audit),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Publication-sanitized copy of the original read-only audit; conclusions unchanged,0f435f74c0a48352aa5bed5825f995c397320f872fd81c62c97696b4ba841d05,c69d2093358ece3a15b25e23c58daf221e6e072df6eb040de17abc4f818d88fc,Paths normalized; timestamps preserved
docs/audits/VITIS_MACSEC_SECURITY_CLOSURE_AUDIT_20260806_210353.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/reports/VITIS_MACSEC_SECURITY_CLOSURE_AUDIT_20260806_210353.md,DOCUMENTATION_ORIGINAL,VITIS_MACSEC audits (2026-08-06),Le Sun (audit),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Publication-sanitized copy of the original read-only audit; conclusions unchanged,14992741a3053e9ca578970b117fceeba5b44515d7fd049ad1948b77fa29831c,52d14d6428d980bbfe0daa4055b2626fda80a5557882fdf92f872b5df46429be,Paths normalized; timestamps preserved
